Domain,URL,Category,Sub-Entity / Journal,Audience,Authority Tier,Relationship Type,Submission / Contribution Pathway,Target HVACLogic Asset,Pitch Angle / Technical Context,Citation / Link Potential,Link Status / Verification,Priority,Status,Notes
ieee.org,https://www.ieee.org,Engineering Society,IEEE Industrial Electronics / Smart Grid,Electrical Engineers & Control Scientists,A+,Research Publication / Citation,IEEE Transactions / Conference Paper Submission,https://hvaclogic.org/calculators/heat-pump-size-calculator,Modeling cold-climate heat pump inverter compressor modulation and auxiliary resistance grid peak loads,Permanent IEEE Xplore indexation & academic citations,Unpublished / Target,A+,Identified,Premier global engineering institute
techrxiv.org,https://www.techrxiv.org,Engineering Society / Preprint,TechRxiv Open Preprint Server,Electrical & Mechanical Researchers,A+,Preprint / Open Science,Direct preprint submission (CC BY 4.0),https://hvaclogic.org/research/ashrae-hyland-wexler-moist-air-psychrometrics,Mathematical formulations of ASHRAE Hyland-Wexler psychrometric energy-balance solvers,Permanent open-access preprint DOI & dofollow citation,Target,A+,Identified,Official IEEE engineering preprint server
spectrum.ieee.org,https://spectrum.ieee.org,Engineering Society / Media,IEEE Spectrum Magazine,Technology Leaders & Engineers,A+,Editorial / Expert Contribution,Pitch technical feature to Senior Editors (Energy / Computing),https://hvaclogic.org/calculators/pt-chart,The 2026 A2L refrigerant transition: Thermodynamic computing and eliminating empirical heuristics,High-authority editorial mention & referral traffic,Unpublished / Target,A+,Identified,Flagship IEEE engineering publication
ashrae.org,https://www.ashrae.org,HVAC Governing Society,ASHRAE Technical Committees (TC 1.1 / TC 6.1 / TC 9.1),HVAC Consulting Engineers & Researchers,A+,Expert Contribution / Standards Review,Committee research presentations & standard public review commentary,https://hvaclogic.org/standards,Deterministic client-side implementations of ASHRAE Fundamentals Chapter 1 & Standard 62.2,Standard reference inclusion & committee recognition,Unpublished / Target,A+,Identified,Global HVAC/R standard-setting authority
ashrae.org,https://www.ashrae.org/technical-resources/ashrae-journal,HVAC Governing Society,ASHRAE Journal,Practicing HVAC Engineers & Contractors,A+,Editorial / Practitioner Article,Peer-reviewed practitioner article submission via ASHRAE Editorial Board,https://hvaclogic.org/calculators/superheat-subcooling-calculator,Navigating zeotropic temperature glide: Why dew point subcooling errors cause 8.5% undercharge in R-454B systems,Print & digital editorial publication with authoritative attribution,Unpublished / Target,A+,Identified,Premier practitioner magazine in the built environment
tandfonline.com,https://www.tandfonline.com/toc/uhvc21/current,Academic Journal / ASHRAE,Science and Technology for the Built Environment (STBE),HVAC/R Academic Researchers,A+,Research Publication,Formal peer-reviewed journal submission (Taylor & Francis),https://hvaclogic.org/research/thermodynamic-modeling-a2l-refrigerant-glide-r454b,Thermodynamic phase-equilibrium and non-linear temperature glide modeling calibrated against NIST REFPROP 10.0,High-impact scholarly citations in Web of Science / Scopus,Unpublished / Target,A+,Identified,ASHRAE's flagship archival research journal
cibse.org,https://www.cibse.org,HVAC Governing Society (UK/Global),CIBSE Journal & Technical Publications,Building Services Engineers (UK/EU/Global),A+,Editorial / Technical Reference,Technical paper submission to CIBSE Technical Symposium,https://hvaclogic.org/calculators/ductulator,Hydrodynamic comparison of Darcy-Weisbach duct friction modeling across metric and imperial standards,International engineering recognition & institutional citation,Unpublished / Target,A,Identified,Chartered Institution of Building Services Engineers
rehva.eu,https://www.rehva.eu,HVAC Federation (Europe),REHVA European HVAC Journal,European HVAC Professionals & Academics,A,Editorial / Technical Contribution,Submit technical article to REHVA Editorial Board,https://hvaclogic.org/research/effective-dilution-iaq-ventilation-mass-balance,Multi-zone mass-balance ventilation and continuous IAQ dilution in tight European building envelopes,European HVAC federation journal feature,Unpublished / Target,A,Identified,Federation of European Heating, Ventilation and Air Conditioning Associations
ibpsa.org,https://www.ibpsa.org,Building Simulation Society,Building Simulation Conference & Journal,Building Energy Modelers & Academics,A+,Conference / Research Publication,Submit paper to Biennial Building Simulation Conference (IBPSA),https://hvaclogic.org/research/thermal-envelope-infiltration-building-heat-loss,Deterministic enclosure infiltration and dynamic fenestration solar heat gain integration for building simulations,Permanent conference proceedings & academic citations,Unpublished / Target,A+,Identified,International Building Performance Simulation Association
herrick.purdue.edu,https://engineering.purdue.edu/Herrick,University Laboratory,Purdue Ray W. Herrick Laboratories,Compressor & Refrigeration Scientists,A+,Academic Outreach / Citation,Share open datasets with faculty/postdocs researching heat pumps & refrigerants,https://hvaclogic.org/research/cold-climate-heat-pump-balance-point-lab,Open benchmark dataset on variable-speed cold-climate heat pump COP derating (360 points),Inclusion in course syllabi, lab references, and research citations,Target,A+,Identified,World-renowned HVAC/refrigeration research institute
acrc.mechse.illinois.edu,https://acrc.mechse.illinois.edu,University Laboratory,Air Conditioning and Refrigeration Center (ACRC) — UIUC,Thermal Systems Engineers & Students,A+,Academic Outreach / Research Reference,Direct academic correspondence with ACRC research groups on low-GWP refrigerants,https://hvaclogic.org/research/deterministic-vapor-compression-refrigerant-mass-sizing,Governing formulations for low-GWP A2L refrigerant line-set mass addition and velocity gradients,Academic citation in ACRC technical reports & lab projects,Target,A+,Identified,Leading NSF/industry university cooperative research center
cbe.berkeley.edu,https://cbe.berkeley.edu,University Laboratory,Center for the Built Environment (UC Berkeley),Building Scientists & Indoor Climate Researchers,A+,Academic Collaboration / Tool Reference,Engage CBE researchers regarding thermal comfort models and ASHRAE 55 integrations,https://hvaclogic.org/calculators/psychrometric-calculator,Open-access ASHRAE Hyland-Wexler psychrometric engine and thermal comfort boundary visualization,Reference on CBE research tools portal and academic papers,Target,A+,Identified,Pioneer in occupant thermal comfort and building science
esl.tamu.edu,https://esl.tamu.edu,University Laboratory,Energy Systems Laboratory (Texas A&M),Building Energy Efficiency Engineers,A,Academic Outreach / Dataset Sharing,Share building envelope thermal transmission benchmark datasets with ESL faculty,https://hvaclogic.org/research/student-lab-building-envelope-thermal-transmission,Benchmark matrix evaluating Fourier conductive transmission and ACH50 infiltration sizing,Inclusion in Texas building energy software validation and citations,Target,A,Identified,Texas A&M Energy Systems Laboratory
buildingtechnology.mit.edu,https://buildingtechnology.mit.edu,University Laboratory,MIT Building Technology Program,Building Physics Researchers & Architects,A+,Academic Outreach / Curriculum,Submit student lab modules to faculty teaching building physics and environmental systems,https://hvaclogic.org/oer-modules/building-envelope-thermal-transmission-lab.html,Interactive client-side simulation modules for undergraduate building physics courses,Adoption in MIT building science course syllabi,Target,A+,Identified,MIT Architecture & Mechanical Engineering Building Tech
nrel.gov,https://www.nrel.gov,Government National Laboratory,National Renewable Energy Laboratory (NREL),Decarbonization & Building Energy Researchers,A+,Dataset Sharing / Research Reference,Engage NREL Building Technologies Directorate on open heat pump COP derating datasets,https://hvaclogic.org/research/cold-climate-heat-pump-balance-point-lab,Open benchmark dataset evaluating cold-climate heat pump performance across -15°F to 50°F,Reference in NREL OpenStudio / ResStock heat pump research,Target,A+,Identified,Premier US renewable energy and building efficiency lab
lbl.gov,https://www.lbl.gov,Government National Laboratory,Lawrence Berkeley National Laboratory (LBNL),Indoor Air Quality & Building Technology Scientists,A+,Research Citation / Dataset Reference,Share mass-balance ventilation and IAQ models with LBNL Energy Technologies Area,https://hvaclogic.org/research/effective-dilution-iaq-ventilation-mass-balance,Effective outdoor air dilution and continuous infiltration modeling under ASHRAE 62.2,Citation in LBNL ventilation technical reports,Target,A+,Identified,Pioneers of building envelope air tightness & ASHRAE 62.2
ornl.gov,https://www.ornl.gov,Government National Laboratory,Oak Ridge National Laboratory (ORNL),Building Technologies Research and Integration Center (BTRIC),A+,Research Outreach / Technical Reference,Correspond with ORNL Building Equipment Research Group on heat pump defrost kinetics,https://hvaclogic.org/research/vapor-compression-kinetics-heat-pump-derating,Thermodynamic evaluation of latent defrost degradation penalties and electric resistance staging,Reference in ORNL low-ambient heat pump evaluation studies,Target,A+,Identified,DOE flagship laboratory for advanced heat pumps and materials
nist.gov,https://www.nist.gov,Government Standards / Research,NIST Thermodynamic Metrology & Building Environment Division,Metrology Scientists & Thermodynamicists,A+,Citation / Metrology Reference,Engage NIST REFPROP development group regarding A2L saturation curve formulations,https://hvaclogic.org/research/thermodynamic-modeling-a2l-refrigerant-glide-r454b,Exact phase-equilibrium and non-linear glide formulations calibrated against NIST REFPROP 10.0,Citation in NIST thermodynamic property validation databases,Target,A+,Identified,National Institute of Standards and Technology
energy.gov,https://www.energy.gov/eere/buildings,Government Agency,DOE Building Technologies Office (BTO),Energy Policy Analysts & Efficiency Engineers,A+,Public Data Reference / OER,Submit educational courseware and benchmark datasets to DOE Better Buildings Program,https://hvaclogic.org/oer-modules/heat-pump-balance-point-lab.html,Open-access computational laboratory for workforce training in residential heat pump sizing,Reference in DOE workforce development resources,Target,A,Identified,US Department of Energy Building Technologies Office
epa.gov,https://www.epa.gov/climate-hfcs-reduction,Government Agency,EPA AIM Act & ENERGY STAR HVAC,Refrigeration Compliance Officers & Contractors,A+,Educational Reference / Compliance Tool,Submit digital A2L PT chart and line-set weigh-in tools to EPA Section 608 training networks,https://hvaclogic.org/calculators/pt-chart,Zero-error saturation lookup and glide compensation for EPA AIM Act compliance,Reference in EPA technician transition resources,Target,A+,Identified,US Environmental Protection Agency
achrnews.com,https://www.achrnews.com,Trade Publication,The Air Conditioning, Heating and Refrigeration NEWS (ACHR News),HVAC Contractors, Distributors & Engineers,A+,Editorial / Practitioner Article,Submit technical op-ed or practitioner feature to Managing Editor,https://hvaclogic.org/calculators/pt-chart,Preventing A2L charging errors: How dew-point subcooling shortcuts cause compressor failures in R-454B systems,High-tier editorial contextual link & trade recognition,Unpublished / Target,A+,Identified,Premier weekly trade publication for HVAC contractors
greenbuildingadvisor.com,https://www.greenbuildingadvisor.com,Trade Publication / Media,Green Building Advisor (GBA),Building Science Practitioners, Architects & Energy Raters,A+,Editorial / Guest Author,Submit deep-dive technical article to GBA Editorial Board,https://hvaclogic.org/calculators/heat-pump-size-calculator,Why heat pump balance points matter more than rated tonnage in cold-climate electrification,Editorial dofollow backlink & leading building science discussion,Unpublished / Target,A+,Identified,Foremost practitioner forum for residential building science
energyvanguard.com,https://www.energyvanguard.com/blog,Specialist Media / Blog,Energy Vanguard Blog (Dr. Allison Bailes),HVAC Designers, Energy Raters & Mechanical Engineers,A+,Editorial Outreach / Technical Reference,Pitch engineering analysis and tool comparison to Dr. Allison Bailes,https://hvaclogic.org/calculators/duct-friction-loss-calculator,Demystifying ACCA Manual D Total Equivalent Length (TEL): Why fitting resistance dwarfs straight duct runs,High-authority contextual reference & social distribution,Unpublished / Target,A+,Identified,Highly respected building science and duct design publication
contractingbusiness.com,https://www.contractingbusiness.com,Trade Publication,Contracting Business Magazine,Commercial & Residential HVAC Contractors,A,Editorial / Expert Column,Submit field service case study to Editorial Director,https://hvaclogic.org/calculators/superheat-subcooling-calculator,Field diagnostics for zeotropic refrigerants: Eliminating the 2.2°F subcooling error,Editorial trade feature & contextual dofollow link,Unpublished / Target,A,Identified,Leading national HVAC business and technical publication
esmagazine.com,https://www.esmagazine.com,Trade Publication,Engineered Systems Magazine,Consulting Specifying Mechanical Engineers,A,Editorial / Technical Paper,Submit technical engineering monograph to Editor-in-Chief,https://hvaclogic.org/research/ashrae-hyland-wexler-moist-air-psychrometrics,Implementing pure ASHRAE Hyland-Wexler numerical psychrometric solvers for engineering design,Authoritative engineering feature & digital publication,Unpublished / Target,A,Identified,Targeted at commercial building mechanical consulting engineers
